Longitude,Latitude,Accuracy,Altitude,Time,Easting,Northing
023.7786334,37.9759656,01.9000000,0225.0,2023-02-15T11:38:00.312000,480408.59,4202883.54
023.7786228,37.9759588,01.9800000,0225.0,2023-02-15T11:38:01.313000,480407.66,4202882.79
023.7786100,37.9759541,02.3000000,0225.0,2023-02-15T11:38:02.315000,480406.54,4202882.27
023.7786004,37.9759518,01.9800000,0225.0,2023-02-15T11:38:03.317000,480405.69,4202882.02
023.7785920,37.9759486,01.9800000,0226.0,2023-02-15T11:38:04.317000,480404.95,4202881.67
023.7785840,37.9759439,01.9800000,0225.0,2023-02-15T11:38:05.314000,480404.25,4202881.15
023.7785788,37.9759347,01.9000000,0225.0,2023-02-15T11:38:06.313000,480403.79,4202880.13
023.7785795,37.9759248,02.3000000,0225.0,2023-02-15T11:38:07.313000,480403.85,4202879.03
023.7785843,37.9759146,01.9000000,0226.0,2023-02-15T11:38:08.315000,480404.27,4202877.90
023.7785918,37.9759058,01.9800000,0225.0,2023-02-15T11:38:09.318000,480404.93,4202876.92
023.7785994,37.9758971,01.9800000,0226.0,2023-02-15T11:38:10.318000,480405.59,4202875.95
023.7786069,37.9758885,01.9800000,0226.0,2023-02-15T11:38:11.317000,480406.25,4202874.99
023.7786131,37.9758806,01.9800000,0226.0,2023-02-15T11:38:12.316000,480406.79,4202874.12
023.7786177,37.9758713,01.9800000,0226.0,2023-02-15T11:38:13.316000,480407.19,4202873.08
023.7786235,37.9758620,01.9000000,0226.0,2023-02-15T11:38:14.316000,480407.70,4202872.05
023.7786293,37.9758524,01.9800000,0226.0,2023-02-15T11:38:15.317000,480408.20,4202870.98
023.7786342,37.9758410,01.9800000,0226.0,2023-02-15T11:38:16.318000,480408.63,4202869.72
023.7786382,37.9758281,01.9800000,0226.0,2023-02-15T11:38:17.319000,480408.98,4202868.29
023.7786432,37.9758172,01.9800000,0226.0,2023-02-15T11:38:18.316000,480409.42,4202867.08
023.7786469,37.9758070,01.9000000,0227.0,2023-02-15T11:38:19.314000,480409.74,4202865.94
